ArticleName;ArticleNr;ArticleSize;SaleYear;SaleM01;SaleM02;SaleM03;SaleM04;SaleM05;SaleM06;SaleM07;SaleM08;SaleM09;SaleM10;SaleM11;SaleM12;SaleQ1;SaleQ2;SaleQ3;SaleQ4;SaleTotal;
SD47E0308XV;1084403893;XL;2020;436,58;865,39;1716,33;57,32;914,8;3488,73;204,2;559,49;320,74;6908,4;1082,69;673,27;3018,3;4460,85;1084,43;8664,36;17227,94;
WI22F0337FE;1465425980;XL;2020;528,7;2827,48;10,96;1442,7;540,08;4373,14;125,08;1354,4;8384,16;4116,67;2996,88;6670,4;3367,14;6355,92;9863,64;13783,95;33370,65;
QZ82C0075YL;1009997142;XL;2020;7,66;4270,31;4660,76;602,53;204,74;2676,34;5671,28;367,58;69,36;734,78;3631,3;5783,81;8938,73;3483,61;6108,22;10149,89;28680,45;
OU24T0352SX;1232322142;XL;2020;4488,32;393,36;3330,05;268,5;2646,71;1326,58;2983,52;1284,44;4037,61;5917,92;4266,9;1348,81;8211,73;4241,79;8305,57;11533,63;32292,72;
BY86G0220TC;1864916213;XL;2020;3537,27;1416,64;34,97;72,81;2640,86;6501,96;2515,49;1489,12;5622,44;3498,72;2241,54;217,23;4988,88;9215,63;9627,05;5957,49;29789,05;
YO12Z0945TG;1533930037;XXL;2020;2501;2483,9;6877,08;8788,17;1834,31;1548,54;95,43;3445,73;107,61;226,37;584,76;645,73;11861,98;12171,02;3648,77;1456,86;29138,63;
SN28I0265KA;1782869736;XXL;2020;1037,67;2740,66;242,69;3432,04;7819,22;162,05;5119,83;32,97;4130,43;924,26;225,77;3099,56;4021,02;11413,31;9283,23;4249,59;28967,15;
AJ57V0905HO;1147398377;XXL;2020;1536,84;6180,69;95,61;291,92;1919,21;665,91;5082,53;220,94;709,76;2872,1;548,67;4702,04;7813,14;2877,04;6013,23;8122,81;24826,22;
VR15V0219UI;1321023149;XXL;2020;8434,09;400,9;1988,54;4821,4;1226,99;4252,06;1005,37;3042,71;1558,61;3308,71;4320,61;318,13;10823,53;10300,45;5606,69;7947,45;34678,12;
EG43W0800UE;1445078936;XXL;2020;11,42;2054,54;624,04;937,54;92,76;264,84;194,56;1389,77;3678,06;3832,78;2866,18;2119,84;2690;1295,14;5262,39;8818,8;18066,33;
NQ91W0482KL;1924750352;XXXL;2020;828,04;2297,52;8,08;678,89;654,35;8392,05;3771,31;912,91;24,96;417,46;1025;267,41;3133,64;9725,29;4709,18;1709,87;19277,98;
OT13J0734IF;1516477566;XXXL;2020;703,14;2948,32;3711,13;3945,37;441,24;4219,04;4861,93;273,76;7223,46;603,35;6754,15;230,1;7362,59;8605,65;12359,15;7587,6;35914,99;
BI05V0979HR;1965142417;XXXL;2020;4143,29;975,23;2873,75;1039,75;2540,24;2831,65;1953,85;4568,87;4825,78;1542,75;4338,54;4952,98;7992,27;6411,64;11348,5;10834,27;36586,68;
CN27G0037CB;1054866030;XXXL;2020;2487,13;3025,63;1992,48;5144,42;18,06;2151,77;1180,64;6200,66;7073,14;5618,53;3710,95;681,14;7505,24;7314,25;14454,44;10010,62;39284,55;
UO60F0090LB;1455372911;XXXL;2020;1628,94;775,14;549,11;6950,04;5897,29;2355,69;239,04;2775,92;3436,64;582,24;267,13;2885,25;2953,19;15203,02;6451,6;3734,62;28342,43;
KN31O0638SN;1400439077;XS;2020;1505,85;1376,18;4649,2;1299,88;706,32;70,47;267,07;1010,73;184,23;4026,88;3022,27;2010,76;7531,23;2076,67;1462,03;9059,91;20129,84;
FE00N0478AO;1615767543;XS;2020;675,98;671,03;8161;194,26;1949,41;144,17;2112,89;5885,47;3346,09;5336,38;716,25;152,36;9508,01;2287,84;11344,45;6204,99;29345,29;
FY16M0202HL;1117280254;XS;2020;464,09;1050,31;3538,71;1162,52;1062,84;964,46;4581,75;2997,45;2713,15;4078,34;2251,74;943,99;5053,11;3189,82;10292,35;7274,07;25809,35;
AB72Z0222AJ;1213781204;XS;2020;3022,57;182,81;996,38;1287,37;1020,15;338,65;60,19;3314,71;3063,89;5756,33;2999,33;3238,63;4201,76;2646,17;6438,79;11994,29;25281,01;
IG68Y0781IZ;1960502144;XS;2020;8388,76;4138,34;4473,77;3728,31;1194,16;3615,28;4536,62;6654,75;1802,54;3526,77;4755,96;5060,05;17000,87;8537,75;12993,91;13342,78;51875,31;
FQ00E0414WY;1511528512;S;2020;989,52;536,69;5125,33;468,94;3396,39;174,79;1117,28;4737,37;626,68;5121,13;2596,57;630,72;6651,54;4040,12;6481,33;8348,42;25521,41;
FU02P0482YP;1529563069;S;2020;7567,31;353,67;2362,7;1014,28;1597,09;550,97;2119,73;1333,24;4811,85;3406,13;1665,07;1864,96;10283,68;3162,34;8264,82;6936,16;28647;
YD11X0228XE;1590570492;S;2020;387,23;895,07;3149,94;1810,72;2,94;2693,22;101,11;6154,62;574,35;28,79;4074,55;145,34;4432,24;4506,88;6830,08;4248,68;20017,88;
SF24O0584FU;1175311855;S;2020;2257,32;66,17;3934,02;1419,29;2386,01;1552,49;1921,19;2205,33;196,14;5949,1;2026,06;3863,72;6257,51;5357,79;4322,66;11838,88;27776,84;
FL03M0938RU;1767977574;S;2020;822,59;3772,51;5943,8;6956,04;436,33;6119,48;1026,8;1518,18;6241,95;6036,71;3977,22;227,97;10538,9;13511,85;8786,93;10241,9;43079,58;
ST62V0662KZ;1311279280;M;2020;112,48;1603,1;227,92;95,42;16,45;2474,72;508,46;484,46;1846,31;1207,09;430,58;1678,59;1943,5;2586,59;2839,23;3316,26;10685,58;
ZH58F0706EV;1444294606;M;2020;3664,29;1276,38;1537,95;1095,67;440,06;3360,62;173,29;3567,23;1842,45;4577,69;4535,81;516,97;6478,62;4896,35;5582,97;9630,47;26588,41;
TC85F0916UC;1466937042;M;2020;989,15;527,47;5710,92;2778,61;23,85;825,9;3864,77;912,15;4308,91;754,08;9315,63;2609,49;7227,54;3628,36;9085,83;12679,2;32620,93;
HP39D0542GF;1770250865;M;2020;344,8;1175,42;2292,39;4192,7;2252,38;6254,66;8819,47;569,26;312,07;389,24;7821,98;1824,99;3812,61;12699,74;9700,8;10036,21;36249,36;
UV49W0143JM;1671343972;M;2020;3880,27;2813,01;5605,87;1605,45;2566,18;696,64;1501,66;1908,53;651,23;1272,31;144,48;2663;12299,15;4868,27;4061,42;4079,79;25308,63;
TU27Y0173RO;1497330020;L;2020;26,65;606,59;7321,44;2064,93;3692,19;3537,89;5319,59;231,78;1439,57;2976,2;6804,79;1611,51;7954,68;9295,01;6990,94;11392,5;35633,13;
YR92N0699VA;1698053382;L;2020;541,36;1405,85;970,26;2932,05;2089,07;3504,33;830,9;174,76;4887;71,91;3517,26;792,39;2917,47;8525,45;5892,66;4381,56;21717,14;
RY58F0508HG;1522098507;L;2020;987,25;879,17;346,07;7883,98;145,35;2522,84;2405,17;7338,53;509,68;438,46;3438,57;728,32;2212,49;10552,17;10253,38;4605,35;27623,39;
